"Texto","Target"
" calls anti feminazi shut fucking vile commentary elderly responsible citizen tu sach muuch ghani baawri bewdi hai bey ","ideological-inequality"
" now back women brave beautiful bad ass babes deserve much credit season gone woman learned much feel empowered expect future relationships ","non-sexist"
" wow skirt short length 5 inch ","objectification"
" incredible beautiful laughed much read drifting wheelchair just picture ","non-sexist"
" find extremely hard believe kelly 66 yr old mum believe makes question fuck game especially none apologised tried explain amp immediate response like tweets attacking victims ","non-sexist"
" hello m raj m good size excellent stamina passionate pussy licker love lick every holes womens desire b licked doggymissionarywomen topmy best pose spank bed ","sexual-violence"
" true story 18 y o daughter get gun shoot rapist 18 sexist victim blaming women need carry guns protect right people evil need deal ","non-sexist"
" head coach caroline ouellette excited share great news stinger initiative anonymous donor offered match gifts concordia women's hockey team total 5k ","non-sexist"
" devli branch new delhi avoided deserves shut employees therein least bothered consumer's woes 20 days yet redressal woes ","non-sexist"
" bravo woman matter believe standing beliefs everyone around making feel crazy hard held know woman please tag need send bottle wine something ","non-sexist"
" actually painted pic reality advocating say facilitators stranger examining rape victim's anus swabbing vagina telling raped women request sex care transphobic ","ideological-inequality"
" let just say quick thankyou hezekiah's mom pound chocolate hezekiah actually drives crazy work 5 year old forgive nice ","non-sexist"
" victim card ","non-sexist"
" us sunderland fans busy dickheads shitshow managers owners slag clubs ","non-sexist"
" aw get women know period talk whine much disinterested parties ","non-sexist"
" know feminists think way accusing us anything feminism say opposite woman need man men make feel valid anymore man find ","ideological-inequality"
" ha knee slapper freakin true ","non-sexist"
" really just want rich trophy wife rich rich ","stereotyping-dominance"
" even wanna acknowledge supposed break destroy system misandry ","non-sexist"
" feels like cold take surface feel like hand waving away much early 90s conservative media legwork done largely paved limbaugh hit big 92 uttered first usage feminazi heard describing hrc ","ideological-inequality"
" now sports nutrition beef bone broth powder made premium quality beef bone extract 1 2 pound ","non-sexist"
" bitches begging fw just give reason fw lol ","sexual-violence"
" going start demanding hot lesbians sleep say going accuse misandry heterophobia might throw racist fascist ","ideological-inequality"
" philosophy funny mustache else man need ","non-sexist"
" please always take care times getting hard around world one beautiful women god ever made hope reaches ","non-sexist"
" dislike friend like james harden gave one baby's prada bag honey buns richard mille 100k mf now remember birthday go buy something worth fuck just give honey buns send text foh extra shit ","non-sexist"
" beautiful woman beautiful heart still think sexiest now bend daddies gonna spank ","sexual-violence"
" looks like cool boss lady ","non-sexist"
" people vaccinated know like pregnant nursing women people organ transplants cancer etc ","non-sexist"
" women make children live without touching every second child toy full human kids talk day one tell leave alone 90 time ","non-sexist"
" love poetry books reading one plane flight one flight attendants black women goes good see brotha reading something deep ","non-sexist"
" right probleme war left right work together great things equality need freedom freedom need equalityright many things help peopleleft humanity gain great things improve society ","non-sexist"
" fucki hate literally good amount people lucky enough even share space even secondsand fucking behave like even accident aghhi die even city ","non-sexist"
" women big knockers wear patterned tops draws attention also low ","objectification"
" seriously mentally ill just like dworkin amp millett radical feminism accurately described carceral separatism decades long habit putting unhinged front amp center ","ideological-inequality"
" learned needlepoint pick chicks traveling ","misogyny-non-sexual-violence"
" people deserve know denied 2 000 month survival checks covid 19 relief debated behind closed doors ","non-sexist"
" read bible right letters st paul supporting oppression women give one example many also swallowed large fish coming alive natural law travel fish boat ","stereotyping-dominance"
" super news ","non-sexist"
" tuesday eritrean forces killed 81 civilians hiding al nejashi mosque woman tigray town negash tells phone managed escape massacre amp arrived mekele last wednesday walking 4 10 ","non-sexist"
" bbc men superior inferior little asian men like love snowbunnies handsome bbc bulls boyfriends fuck buddies alpha men pindick loser like love serve couple amp cucked midlands uk ","ideological-inequality"
" except human murdered name whoring good job feminists ","ideological-inequality"
" wow people actually scared single woman भारतीय नारी सब पर भारी traitors scared remember one thing stop one kangna uncountable kangna will counter back stand right ","stereotyping-dominance"
" discuss later important part awesome beautiful queen goddess ","non-sexist"
" cock carousel exhausting ","non-sexist"
" trans woman woman mansplaining women's rights period ","ideological-inequality"
" prompt posted yet free woman till 9 tmrw else ","non-sexist"
" ive sooo interesting whole life just want boring trophy wife now ","stereotyping-dominance"
" police searching man accused stealing woman's purse inside business driving v read ","non-sexist"
" need someone make cum pussy throbbing cock dm fun ","sexual-violence"
" hello stalker scotland using google chrome app use supply ip address though ","non-sexist"
" new realm mgtow debate vs lamprey milt debated member mgtow community closely related incels ","non-sexist"
" look like prostitute literally one go ","misogyny-non-sexual-violence"
" back back limbaugh creator feminazi seriously lost 6 million votes lost decisively definitively lost humiliatingly make bigger loser claiming entitled win just lost stop whining ","ideological-inequality"
" shouting white men hate love twisted love going ","non-sexist"
" suburban white woman whose neighborhood still standing ","non-sexist"
" democrats smoke crack democrat never knew people like guys hate united states much always want blame one person remember fight something cannotsee always wanting blame president trump just one guy ","non-sexist"
" willie twisted inciting lets honest wbk willie always problematic start ms manila tho hunny instead defending empowered woman comfortable skin chose let man's taunting words stroke ego disgusting ","misogyny-non-sexual-violence"
" ladies get fooled year 600 bout get real spooky ","non-sexist"
" yeah go vat slag ","non-sexist"
" manspreading crusade 2010s psyop real know ","non-sexist"
" 43k tigrayans fled sudan 700 women pregnant 150 survivors gender based violence ","non-sexist"
" intimidating yell woman demanding dare want make angry feels back time puts strength behind spank contacts ass ","sexual-violence"
" getting pregnant anything decision get vaccine sterilize anything probably want immune contagious disease get pregnant ","non-sexist"
" adaptation know tedros will look like adaptation yet might blonde kinda dumb offense love teddy d cast might like look like book \_ಠ‿ಠ_ ","non-sexist"
" rat skank ","misogyny-non-sexual-violence"
" want settle now gotten bored cock carousel ","misogyny-non-sexual-violence"
" laugh response ‘like villain guessing ' another small chuckle lovely lady actually responding ‘writing vibin throwing knives cutting board playing five finger fillet ' ","non-sexist"
" thing makes sexual assault specific act carried rather lack consent act whatever happens kink vanilla fucking street harassment ","non-sexist"
" scientific truthmales never femalesfemales never male flat earth mp nicholson fails twt shows agendanec now changed voted fail uphold mps ","non-sexist"
" believe peter prices burner account just called slag lol ","misogyny-non-sexual-violence"
" dumb logic gays infertile post menopausal women allowed sex reproduce ","non-sexist"
" reblog tease thick cock ","sexual-violence"
" showing womens football level promote said good age go equality seems disparity required woman required man argued ","stereotyping-dominance"
" hate fb someone said real women comments someone else said church dude responded every girl met church whore ","stereotyping-dominance"
" slackers one year ordered hubs huge new grill amazon use feet roll heavy looked like something frankenstein wrapped took 3 rolls paper now learned trick wrap bottom ","non-sexist"
" still waiting response crown b tch saudi arabia think care crown prince feel kill amp dismember journalist imprison female activist audacity say women able drive fu ","ideological-inequality"
" gt lascivious moxxy minx gt moxxy minx early porn auditions spungy gunk films masturbate tease suck cock fuck ","sexual-violence"
" know anything know furthermore actually want know feel sympathy males envy women empathy envier envy psychological emotional problem enviers deformed ","non-sexist"
" aye kam u will follow y'all men y'all kil means women sooooo kill men u want ","ideological-inequality"
" random ass slapper lmao ","non-sexist"
" first thing see slut nails ","objectification"
" either believe full equality men women feminism lite men naturally superior expected ‘treat women wel must male benevolence basis woman's well ","ideological-inequality"
" aaah just saw telly said wife follow twitter mansplaining magnet ","sexual-violence"
" promoting master class fame funniest shit girl prime example happens give stuck ignorant self obsessed people fame tips bitch always victimize urself oh racist never take accountability ","ideological-inequality"
" want doll cuz hate people women feel good talking people know chance getting gf zero mostly want hurt like first last time relationship ","non-sexist"
" lol nutting women find ugly yet fucking alone men tell standards ","sexual-violence"
" women start holding friends accountable ways thinking just understand expectations yall us men 1 late 2 prioritize date feeding child maybe wrong ","stereotyping-dominance"
" former aide alleges crooked gov ' looks covers put pressure politicians ","sexual-violence"
" hate beautiful woman making money rather learn difference admire women hate try shade better ","non-sexist"
" thinking disney's cultural empire american mythos inherently linked puritan industriousness exploits every ounce value every resource encounters regard quality utility product creates plunder word ","non-sexist"
" tell find picture attractive ","non-sexist"
" kaliati says unfortunate day hardly passes without hearing case rape defilement violence girls women children ","sexual-violence"
" set time everyday shower bath time set alarm try stick remember depression bitch nice shower goes along way making feel less like crap also invest nice bath products old chef say look good cook good lt 3 ","non-sexist"
" admit defeat ","non-sexist"
" amen men women make nasty comments assumptions based clothes worn shows maybe mind business just enjoy wrestling ","non-sexist"
" must bother supposed feminist suddenly find lockstep religious right probably fought everything life suddenly become feminists patriarchy love ","ideological-inequality"
" old men twisted behaviours children journalist amp brother still zero 45 yrs ","non-sexist"
" look like whore ","objectification"
" men chance gold digger 0 shame ","non-sexist"
" love emoji chose represent hot women ","objectification"
" just got wise guys women tell know pain childbirth anymore ","ideological-inequality"
" really get double gangbanged 1 video ","sexual-violence"
" exactly u wish done go drag dont understand adults think begin tell women less humans take decisions responsibilities cant make progress keep shifting blame ","non-sexist"
" young girl mismatched eyes ability speak ghosts comes age puritan new england h ","non-sexist"
" patriarchy really regretting allowing women read right now ","non-sexist"
" yep whole new use cock block ","non-sexist"
" dms open rates men women send pics bonus points video ","non-sexist"
" certified slapper ","non-sexist"
" know world hot mess girl tiktok makes 10k 10sec vid pulling faces particularly uniquely either know people try make babies laugh right ","non-sexist"
" wow gift bracelet susanna reid touching certainly wants dont blame susanna sexy women especially showing us red sparkly outfit make impression wonder finally got bang ","objectification"
" beautiful ","non-sexist"
" thanks babes ","non-sexist"
" imagine traditionally attractive relate capacity ","non-sexist"
" dude playing victim card ","non-sexist"
" woman see stuff understand argument feel like saying white men cruel inhumane things women people glossed comparing races racist means women hate men stems men kill us every ","misogyny-non-sexual-violence"
" im sagittarius hate sagittarius women ","misogyny-non-sexual-violence"
" h haaah yes d fuck tyler whimpered biting lower lip back arched fat thumb touching sensitive folds making eyes flutter shut glistening liquid dripped boy's blossoming cunt pink flesh inside shiny — gt ","non-sexist"
" birthday may god continue shower infinite blessings family ","non-sexist"
" black men protect friends amp family pro black women burn cape divest black feminazi twitter like risking life risking life colonizer let grown adults protect ","ideological-inequality"
" just waiting hear 2020 version oedipus complex child's repressed desire transition single parent dad mother order sleep maybe way round now keep love love ","non-sexist"
" well hello kathys skirt short ","objectification"
